id;name;code;similarTo;createdAt;updatedAt
713218;Financeiro | Controladoria;;accounting_or_controlling;2024-10-15T17:40:26.688Z;2024-10-15T17:40:26.688Z
713219;Loja | Porto Alegre/RS;;sales;2024-10-15T17:44:51.981Z;2024-10-15T17:44:51.981Z
713444;Televendas | Implants;;sales;2024-10-16T16:47:37.070Z;2024-10-16T16:47:37.070Z
713445;Tecnologia da Informação | Sistemas;;technology;2024-10-16T16:48:31.853Z;2024-10-16T16:48:31.853Z
713448;Engenharia de Processos | Home Care;;project_or_processes;2024-10-16T16:54:26.230Z;2024-10-16T16:54:26.230Z
713456;Almoxarifado | Home Care;;logistics;2024-10-16T16:59:02.622Z;2025-01-09T11:24:55.928Z
713458;Qualidade | Home Care;;audit_or_quality;2024-10-16T17:00:29.283Z;2025-01-09T11:32:51.134Z
713459;Produção | Envase Home Care;;operations;2024-10-16T17:05:17.809Z;2024-10-16T17:05:17.809Z
713460;Produção | Embalagem Home Care;;operations;2024-10-16T17:05:55.388Z;2024-10-16T17:05:55.388Z
713461;Laboratório | Home Care;;innovation_or_product;2024-10-16T17:06:31.680Z;2024-10-16T17:06:31.680Z
726570;Marketing Implants;;communication_or_design_or_marketing;2024-11-12T18:11:26.006Z;2024-11-12T18:11:26.006Z
726571;Marketing Dentística;;communication_or_design_or_marketing;2024-11-12T18:11:37.033Z;2024-11-12T18:11:37.033Z
737045;Supply Chain;;purchases;2024-12-04T13:15:34.289Z;2024-12-04T13:15:34.289Z
